视频id,标题,描述,最新弹幕数量,金币数量,不喜欢,收藏,最高排名,点赞数,目前排名,回复数,分享数,观看数,弹幕内容
av85859671,【新型冠状病毒】3D模型动画解释新型冠状病毒的感染、传播机理,视频源自https://m.youtube.com/watch?v=omzHESciaWg,137,27,0,472,0,364,0,38,516,65675,up表示听的懂 笑---终于能听懂点了---???---翻译君在哪里---需要翻译---一切听从虎哥安排---这.....---没翻译吗。。。---武汉加油---武汉加油---
av85537015,“冠状病毒”是什么？武汉新型肺炎病毒是如何使人生病的？,20世纪初，人们发现了一种比细菌还要小的病原体：病毒。病毒由蛋白质外壳和遗传物质组成，必须寄生在细胞里才能表现出生命特征。病毒可以一次次欺骗细胞，最终将自己的遗传物质送到寄主细胞核里。病毒可以在细胞中潜伏很久，在某个时刻突然爆发，寄主就会死亡。人们已经发现了七种冠状病毒，其中有三种可以引起严重疾病，即SARS、MERS和新型冠状病毒，它们都会引起免疫系统的强烈反应，产生细胞因子风暴，大量的白细胞和组织液充斥肺部，造成呼吸困难和死亡。免疫反应既不能太弱，也不能太强，平衡的免疫力才是最好的免疫力。,22848,82221,0,35045,23,98166,0,4588,71236,1587070,亿万懦夫死机---只能说配合的不是很好---好像特工啊---我以前没得选择，但我现在只想做个好遗传基因---免疫系统：你和病毒今天必须死一个---泪目---政委！是我啊！---？？细胞骨架？---弑君贼天下第一---哈哈哈哈哈哈---
av95065691,看全球新型冠状病毒疫情变化，外国网友：中国在抗击疫情的时候，其他国家再干嘛？,看全球新型冠状病毒疫情变化，外国网友：中国在抗击疫情的时候，其他国家再干嘛？,1,0,0,5,0,28,0,3,3,4616,外国的三月份真疯狂---
av96136393,[中字]Cardi b在社交软件上呼吁大家重视冠状病毒，并表示自己很害怕,网络，翻译自制;;;Cardib用小品告诉大家重视冠状病毒,36,21,0,247,0,754,0,130,253,33518,ki ki ki ki ki ---我也不知道美国病毒是怎么进入武汉的---疯了哈哈哈---笑死---B姐保护好自己---笑死我了---这b是气势吗？---。。。。---前面的你知道什么内幕就乱说？---？---
av92738408,意大利人怎么看待正在意大利快速发展的新型冠状病毒,Douyin:269232870,650,350,0,268,0,2249,0,234,70,73970,喜欢你们很久了，翻我一下吧---这Bgm似乎有点不合适---为什么画面好蒙？---吓到了---寄过去点---这种时候就该采取必要措施！总之，愿大家都快点解决该死的病毒---音乐？---注意安全---哈哈---这么搞笑的吗---
av95630711,【野生中文字幕】崔娃每日秀 新型冠状病毒谣言和厕纸恐慌Coronavirus Misinformation & Toilet Paper Panic,https://www.youtube.com/watch?v=Ls0ZormAOhU&t=31s;;;【生肉】崔娃每日秀CoronavirusMisinformation&ToiletPaperPanicTheDailyShow;;;转自https://www.youtube.com/watch?v=Ls0ZormAOhU&t=31s,141,9,0,22,0,61,0,5,40,5241,"我们一般都会去了解全球各地的头条热点。---我们可能会去讨论哈维.韦恩斯坦被判服刑23年。---哈维.韦恩斯坦：米拉麦克斯影业公司CEO被100多名女性指控性侵---或者我们也可以聊聊美国最高法院对于特朗普移民新政给出的支持。---美高院推翻下级法院命令，允许特朗普移民新政继续生效---但是今天，全球都在讨论一个共同的话题：---新冠病毒---大规模致死病毒---目前为止，在全球110个国家内已有超过122,000确诊病例---并且沿着更糟糕的趋势在发展着。---"
av85923709,新冠肺炎｜街访美国路人，海外网友怎么看新型冠状病毒？,街访美国人怎么看待新型冠状病毒？美国竟然也有奸商口罩涨10倍！,21052,172101,0,32328,14,279596,0,10400,10675,3150518,想想折合一下人民币、、、---如果再次高峰，社会秩序可能控制不了，因为恐慌---谢谢谢谢---果然和国内一样---戴口罩---等等，你口罩捏？---带错了---谢谢---谢谢谢谢(*°∀°)=3---谢谢---
av94950724,中国专家抵达伊拉克帮助应对冠状病毒爆发 外国网友:感谢中国的爱心和帮助!,-,35,50,0,53,0,930,0,85,15,28441,中国的力量足以去援助外国了吗？？那能不能先让外省的医务人员撤回来---为祖国点赞---Serpents bangs laowhy wife?? Haha---又跑那去啊---太辛苦了，保重啊---一定要保重啊---逆行者---医生真了不起啊！---你带好口罩啊---替专家们担心啊，平安回来---
av90850933,据日本媒体报道，之前美国流行的流感被认为很可能是新型冠状病毒肺炎。,新京报知道视频;;;据日本媒体报道，之前美国流行的流感被认为很可能是新型冠状病毒肺炎。,27,19,0,112,0,350,0,289,264,37680,有那么点意思了---一直怀疑是米国搞出来的---去看看政委刚发的文章 就明白怎么回事了---我也怀疑---我也觉得是---不要带节奏---已经辟谣了---你要死---有所怀疑---打脸总是这么猝不及防---
av86158890,我们，鬼畜区，向冠状病毒宣战！,遵从发起者号召，此视频48小时内收益将全部捐献于韩红基金会,179847,1317646,0,557661,1,1228287,0,10649,230693,7748534,"记得看简介---绝世好活---看简介，你币有了---可惜了 哲学大军♂ 没有参战---忍辱含羞英雄汉，能屈能伸大丈夫！---第二遍，有点上头---[0,0,""1-1"",""5.7"",""武汉加油！相信国家!"",""6"",""3"",0,0,500,0,1,""SimHei"",1]---武汉加油---加油---怎么能白嫖？？---"
av84495207,武汉up实拍，冠状病毒肺炎下，超市、商圈、公司现在是什么情况？,作为武汉人;;;我上街实拍了一些镜头;;;希望大家提高警惕，提醒身边的人;;;一定要戴口罩！;;;注意预防！;;;20200121,97158,173998,0,67797,5,477447,0,23893,61239,9851155,武汉加油---山东人民为武汉加油！---武汉加油---武汉加油！---武汉挺住！---武汉加油---武汉加油！---武汉加油---武汉现在最好带N95了撒，最严重的疫区---武汉加油---
av91305172,【科普动画】新型冠状病毒的二三事,新冠肺炎疫情形势如此严峻，作为一个普通人，我希望能利用自己的特长，为抗击疫情做出一丝贡献。这部动画完全是独立创作，从策划、撰稿到绘图、动画和配音，我爆肝了好几个日夜。这部动画的特点是更加科学和细致地讲述了新冠病毒的感染方式，入侵机制，以及我们对抗病毒的方法，解释了其中的诸多科学原理。希望大家能够对病毒有科学的认识，做到不传谣不信谣，要从官方的渠道获取信息。另外，本视频的动画属性使得其老少皆宜，简明易懂，欢迎大家多多转发。最后，本视频未经许可不得转载到其他视频网站，制作不易，感谢您的支持！,2,65,0,107,0,135,0,14,117,4354,呼吸道是前面那个---别夫---
av95534429,自2020年1月起  新型冠状病毒如何在欧洲传播？,https://www.youtube.com/watch?v=k99tGBPGI9I;;;欢迎点赞投币,42,8,0,65,0,171,0,28,33,6440,意大利起飞---土耳其牛逼---第3条弹幕---重 建 罗 马 ---土耳其居然混进欧洲---黑死病重回欧洲---今日乳髪---精罗狂喜---意大利开始暴兵---我去。。这速度。。---
av85071694,2017年电视剧预测出“新型冠状病毒”的爆发，这编剧穿越了吧？,2017年电视剧预测出“新型冠状病毒”的爆发，这编剧穿越了吧？;;;BGM：Forthewin,2180,2325,0,5958,0,14959,0,1440,13837,799099,日本之前也有mers---请问大家知道这是第几集嘛？---厉害  牛脾---26集---？？？？？？？？---结果就是人传人！---不相似？---张嘉译---???---今天还在放这个看呢。。---
av92307770,苹果CEO库克：中国已控制新冠状病毒,苹果首席执行官蒂姆·库克在周五提前录制的一个访谈节目中表示，他认为中国已开始控制住新型冠状病毒，中国的苹果工厂已经重新开工并在恢复到正常状态的过程中。,640,389,0,732,0,17120,0,2084,229,475014,411111---说给炒股的人说的，稳定股价---谢谢你，库克苹果---我买华为---00000000000000---+---没有没有别瞎说---股价还是会跌的，说了没用---翻译：苹果股价不能再跌啦---已阅！---
av89494570,新型冠状病毒科普,优酷;;;新型冠状病毒科普小动画，中小学学生必看!,0,0,0,4,0,0,0,0,10,1248,
av86101609,【Asapscience】当你患上冠状病毒后身体会发生什么？,https://youtu.be/OTYfke545vI;;;WhatActuallyHappensIfYouGetCoronavirus;;;自制双语字幕,364,1552,0,4403,0,5713,0,285,2761,210064,@野味家---讲的不错---把外国人吓的---是不是 多喝水呀 还有锻炼身体---谢谢---不需要逆转录，直接翻译---转录和翻译---弹幕呢？---my弹幕？？---自己淹死自己---
av90982167,【画说战疫】关于新型冠状病毒肺炎的科普动画 都在这了,转自网络YouTubeTencentBaidu;;;【画说战疫】关于新型冠状病毒肺炎的科普动画都在这了,1,13,0,192,0,93,0,7,280,10286,给爷爬---
av85417288,一个外国人在中国的真实见闻！肺炎！新型冠状病毒！,现在有很多西方的视频创建者、博主甚至都不在中国，他们正在发布关于冠状病毒的视频和观点，很多甚至都不是事实。他们正在利用这次爆发疫情作为对中国制造负面影响的手段，同时利用这一病毒，获得关注和更多西方世界粉丝。;;;我是专业在全世界宣传中国文化的文化工作者，也是一名美国人。想应景发布一则关于中国的新型冠状病毒，因为我收集了很多关于它的最真实的信息和情况。最重要的是，我现在正在中国，身处疫情中。;;;http://www.zigonglanterngroup.com中国国际彩灯节/自贡灯彩集团,326,1025,0,930,0,7118,0,405,165,533625,我爱中国文化和美食！---带反了白的永远在里面---大足！---加油，期待你们更精良的制作---币给你看了---桂香苑---放屁，通常情况下春节也没人，商店都关门了---看起来你那儿人还是挺多的。---不是未定名吗---哈哈哈哈哈---
av96729526,老外：我为中国医护感到骄傲 医护人员在与冠状病毒的前线战斗,,13,24,0,38,0,319,0,8,4,6882,中国总是被他们中最勇敢的人守护得很好！基辛格---点赞太少，还是黑的多---我们的医护人员太伟大了---我们有英雄。很亲切的英雄---老外见不得咱们好，很正常---所以我们才能安心的在家上网呀---职业没有高尚低阶之分，高尚的是人---致敬---致敬中国医护的奉献---我的天，这，这么恐怖么---
av94108619,冠状病毒意大利北部疫情下的生活真实情况Vlog_#54终于可以安心戴口罩！,这个视频是叁月05号拍的，因为4号那天意大利居然突破了3000病例，我就想着若是再不出门把需要的学习资料打印出来，到时候就真的是不能出门了，所以出门就顺道拍了个VLOG;;;这次我这么敢戴口罩乱走乱拍是因为3月2号那天意大利政府终于宣布，建议市民们在疫情期使用口罩来保护自己不被病毒感染。终于感谢上帝，呜呜呜！;;;尽管隔壁城市米兰那边这么严重，在都灵这边的街上我总共就看到3个人戴口罩（口罩现在有些药店有得卖但挺贵，一次性外科口罩是2.15欧元/个）;;;你们若是想看我买的口罩开箱可以直接去13.00,604,176,0,158,0,1342,0,582,49,121936,注意安全---保护好自己---谢谢介绍---意大利逗比操作---路人都不带口罩喔---看完发现没人戴口罩---up主是一个有爱的人，这个时候国内人都不相互聊天了---像在中国啊---消毒消毒---屯好粮---
av95794209,冠状病毒是如何在欧洲扩展的，一幅图帮你了解1月28日以来的情况,https://youtu.be/k99tGBPGI9I;;;冠状病毒是如何在欧洲扩展的，一幅图帮你了解1月28日以来的情况,48,8,0,36,0,138,0,34,19,6646,神岛格陵兰---没人吗?---瘟疫公司---不测---前方高能---omg---我靠---在现场---……---意大利太恐怖了---
av94416355,越南如何应对新冠状病毒,weibo,19,1,0,19,0,76,0,35,5,10399,哈哈哈---。。。。。---一看地图就是越南。哈哈。阿婆主呆萌呆萌---精越狂喜---哈哈哈哈---可以 这歌---？？？---还可以..---这不是..越南..---这是改编的吧，我怎么觉得似曾相识---
